Uncertainty,Type,Construction,Up,Down,Plot,ttH,ttH_PTH_0_60,ttH_PTH_60_120,ttH_PTH_120_200,ttH_PTH_200_300,ttH_PTH_300_450,ttH_PTH_GT450,ttH_hbb,ttH_hnonbb,ttH_hcc,ttH_htt,ttH_hgg,ttH_hgluglu,ttH_hww,ttH_hzz,ttH_hzg,ttlf,ttbb,ttbb_SL,ttbb_DL,ttbb_5FS,ttbb_split,ttb,tt2b,ttcc,singlet,tHW,tHW_hbb,tHW_hcc,tHW_htt,tHW_hgg,tHW_hgluglu,tHW_hww,tHW_hzz,tHW_hzg,tHW_hnonbb,tHq,tHq_hbb,tHq_hcc,tHq_htt,tHq_hgg,tHq_hgluglu,tHq_hww,tHq_hzz,tHq_hzg,tHq_hnonbb,zjets,wjets,ttbarW,ttbarZ,diboson,ttH_PTH_0_60_hbb,ttH_PTH_0_60_hcc,ttH_PTH_0_60_htt,ttH_PTH_0_60_hgg,ttH_PTH_0_60_hgluglu,ttH_PTH_0_60_hww,ttH_PTH_0_60_hzz,ttH_PTH_0_60_hzg,ttH_PTH_60_120_hbb,ttH_PTH_60_120_hcc,ttH_PTH_60_120_htt,ttH_PTH_60_120_hgg,ttH_PTH_60_120_hgluglu,ttH_PTH_60_120_hww,ttH_PTH_60_120_hzz,ttH_PTH_60_120_hzg,ttH_PTH_120_200_hbb,ttH_PTH_120_200_hcc,ttH_PTH_120_200_htt,ttH_PTH_120_200_hgg,ttH_PTH_120_200_hgluglu,ttH_PTH_120_200_hww,ttH_PTH_120_200_hzz,ttH_PTH_120_200_hzg,ttH_PTH_200_300_hbb,ttH_PTH_200_300_hcc,ttH_PTH_200_300_htt,ttH_PTH_200_300_hgg,ttH_PTH_200_300_hgluglu,ttH_PTH_200_300_hww,ttH_PTH_200_300_hzz,ttH_PTH_200_300_hzg,ttH_PTH_300_450_hbb,ttH_PTH_300_450_hcc,ttH_PTH_300_450_htt,ttH_PTH_300_450_hgg,ttH_PTH_300_450_hgluglu,ttH_PTH_300_450_hww,ttH_PTH_300_450_hzz,ttH_PTH_300_450_hzg,ttH_PTH_GT450_hbb,ttH_PTH_GT450_hcc,ttH_PTH_GT450_htt,ttH_PTH_GT450_hgg,ttH_PTH_GT450_hgluglu,ttH_PTH_GT450_hww,ttH_PTH_GT450_hzz,ttH_PTH_GT450_hzg
CMS_ttHbb_ISR_ttH,shape,weight,"""weight_ISR_ttH_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_isr_Def_up*internalNormFactors.at(""GenWeight_isr_Def_up""))*DOWEIGHTS""","""weight_ISR_ttH_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_isr_Def_down*internalNormFactors.at(""GenWeight_isr_Def_down""))*DOWEIGHTS""",1,1,1,1,1,1,1,1,-,-,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttHbb_ISR_ttbb,shape,weight,"""weight_ISR_ttbb_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(ISRUPTTBB))*DOWEIGHTS""","""weight_ISR_ttbb_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(ISRDOWNTTBB))*DOWEIGHTS""",1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS_ttHbb_ISR_ttcc,shape,weight,"""weight_ISR_ttcc_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(ISRUPTTCC))*DOWEIGHTS""","""weight_ISR_ttcc_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(ISRDOWNTTCC))*DOWEIGHTS""",1,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS_ttHbb_ISR_ttlf,shape,weight,"""weight_ISR_ttlf_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(ISRUPTTLF))*DOWEIGHTS""","""weight_ISR_ttlf_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(ISRDOWNTTLF))*DOWEIGHTS""",1,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CMS_ttHbb_ISR_ttbb,shape,weight,"""weight_ISR_ttbb_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_isr_Def_up*internalNormFactors.at(""GenWeight_isr_Def_up""))*DOWEIGHTS""","""weight_ISR_ttbb_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_isr_Def_down*internalNormFactors.at(""GenWeight_isr_Def_down""))*DOWEIGHTS""",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CMS_ttHbb_ISR_ttb,shape,weight,"""weight_ISR_ttb_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_isr_Def_up*internalNormFactors.at(""GenWeight_isr_Def_up""))*DOWEIGHTS""","""weight_ISR_ttb_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_isr_Def_down*internalNormFactors.at(""GenWeight_isr_Def_down""))*DOWEIGHTS""",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CMS_ttHbb_ISR_tt2b,shape,weight,"""weight_ISR_tt2b_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_isr_Def_up*internalNormFactors.at(""GenWeight_isr_Def_up""))*DOWEIGHTS""","""weight_ISR_tt2b_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_isr_Def_down*internalNormFactors.at(""GenWeight_isr_Def_down""))*DOWEIGHTS""",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS_ttHbb_FSR_ttH,shape,weight,"""weight_FSR_ttH_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_fsr_Def_up*internalNormFactors.at(""GenWeight_fsr_Def_up""))*DOWEIGHTS""","""weight_FSR_ttH_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_fsr_Def_down*internalNormFactors.at(""GenWeight_fsr_Def_down""))*DOWEIGHTS""",1,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS_ttHbb_FSR_ttbb,shape,weight,"""weight_FSR_ttbb_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(FSRUPTTBB))*DOWEIGHTS""","""weight_FSR_ttbb_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(FSRDOWNTTBB))*DOWEIGHTS""",1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS_ttHbb_FSR_ttcc,shape,weight,"""weight_FSR_ttcc_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(FSRUPTTCC))*DOWEIGHTS""","""weight_FSR_ttcc_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(FSRDOWNTTCC))*DOWEIGHTS""",1,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS_ttHbb_FSR_ttlf,shape,weight,"""weight_FSR_ttlf_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(FSRUPTTLF))*DOWEIGHTS""","""weight_FSR_ttlf_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(FSRDOWNTTLF))*DOWEIGHTS""",1,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CMS_ttHbb_FSR_ttbb,shape,weight,"""weight_FSR_ttbb_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_fsr_Def_up*internalNormFactors.at(""GenWeight_fsr_Def_up""))*DOWEIGHTS""","""weight_FSR_ttbb_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_fsr_Def_down*internalNormFactors.at(""GenWeight_fsr_Def_down""))*DOWEIGHTS""",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CMS_ttHbb_FSR_ttb,shape,weight,"""weight_FSR_ttb_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_fsr_Def_up*internalNormFactors.at(""GenWeight_fsr_Def_up""))*DOWEIGHTS""","""weight_FSR_ttb_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_fsr_Def_down*internalNormFactors.at(""GenWeight_fsr_Def_down""))*DOWEIGHTS""",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CMS_ttHbb_FSR_tt2b,shape,weight,"""weight_FSR_tt2b_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_fsr_Def_up*internalNormFactors.at(""GenWeight_fsr_Def_up""))*DOWEIGHTS""","""weight_FSR_tt2b_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_fsr_Def_down*internalNormFactors.at(""GenWeight_fsr_Def_down""))*DOWEIGHTS""",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS_ttHbb_HDAMP_ttbb,shape,variation,/nfs/dust/cms/group/ttx-kit/ntuples_ttH/2017/TTbb*hdampUP*/*nominal*.root,/nfs/dust/cms/group/ttx-kit/ntuples_ttH/2017/TTbb*hdampDOWN*/*nominal*.root,1,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS_ttHbb_HDAMP_ttbb_5FS,shape,variation,/nfs/dust/cms/group/ttx-kit/ntuples_ttH/2017/TTTo*hdampUP*/*nominal*.root,/nfs/dust/cms/group/ttx-kit/ntuples_ttH/2017/TTTo*hdampDOWN*/*nominal*.root,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS_ttHbb_HDAMP_ttcc,shape,variation,/nfs/dust/cms/group/ttx-kit/ntuples_ttH/2017/TTTo*hdampUP*/*nominal*.root,/nfs/dust/cms/group/ttx-kit/ntuples_ttH/2017/TTTo*hdampDOWN*/*nominal*.root,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS_ttHbb_HDAMP_ttlf,shape,variation,/nfs/dust/cms/group/ttx-kit/ntuples_ttH/2017/TTTo*hdampUP*/*nominal*.root,/nfs/dust/cms/group/ttx-kit/ntuples_ttH/2017/TTTo*hdampDOWN*/*nominal*.root,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CMS_ttHbb_UE_ttbb,shape,variation,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS_ttHbb_UE_ttbb_5FS,shape,variation,/nfs/dust/cms/group/ttx-kit/ntuples_ttH/2017/TTTo*TuneCP5up*/*nominal*.root,/nfs/dust/cms/group/ttx-kit/ntuples_ttH/2017/TTTo*TuneCP5down*/*nominal*.root,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS_ttHbb_UE_ttcc,shape,variation,/nfs/dust/cms/group/ttx-kit/ntuples_ttH/2017/TTTo*TuneCP5up*/*nominal*.root,/nfs/dust/cms/group/ttx-kit/ntuples_ttH/2017/TTTo*TuneCP5down*/*nominal*.root,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS_ttHbb_UE_ttlf,shape,variation,/nfs/dust/cms/group/ttx-kit/ntuples_ttH/2017/TTTo*TuneCP5up*/*nominal*.root,/nfs/dust/cms/group/ttx-kit/ntuples_ttH/2017/TTTo*TuneCP5down*/*nominal*.root,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
